id,Payment Type,Amount,Date,Method,Tenant ID
1,security deposit,2250.0,2018-07-01,cash,1
2,rent,2250.0,2018-07-01,cash,1
3,rent,2250.0,2018-08-01,cash,1
4,rent,2250.0,2018-09-01,cash,1
5,rent,2250.0,2018-10-01,cash,1
6,rent,2250.0,2018-11-01,cash,1
7,rent,2250.0,2018-12-01,cash,1
8,rent,2250.0,2019-01-01,cash,1
9,rent,2250.0,2019-02-01,cash,1
10,rent,2250.0,2019-03-01,cash,1
11,rent,2250.0,2019-04-01,cash,1
12,rent,2250.0,2019-05-01,cash,1
13,rent,2250.0,2019-06-01,cash,1
14,rent,2250.0,2019-07-01,cash,1
15,rent,2250.0,2019-08-01,cash,1
16,rent,2250.0,2019-09-01,cash,1
17,rent,2250.0,2019-10-01,cash,1
18,rent,2250.0,2019-11-01,cash,1
19,rent,2250.0,2019-12-01,cash,1
20,rent,2250.0,2020-01-01,cash,1
21,rent,2250.0,2020-02-01,cash,1
22,rent,2250.0,2020-03-01,cash,1
23,rent,2250.0,2020-04-01,cash,1
24,rent,2250.0,2020-05-01,cash,1
25,rent,2250.0,2020-06-01,cash,1
26,rent,2250.0,2020-07-01,cash,1
27,rent,2250.0,2020-08-01,cash,1
28,rent,2250.0,2020-09-01,cash,1
29,rent,2250.0,2020-10-01,cash,1
30,rent,2250.0,2020-11-01,cash,1
31,rent,2250.0,2020-12-01,cash,1
32,rent,2250.0,2021-01-01,cash,1
33,rent,2250.0,2021-02-01,cash,1
34,rent,2250.0,2021-03-01,cash,1
35,rent,2250.0,2021-04-01,cash,1
36,rent,2250.0,2021-05-01,cash,1
37,rent,2250.0,2021-06-01,cash,1
38,rent,2250.0,2021-07-01,cash,1
39,rent,2250.0,2021-08-01,cash,1
40,rent,2250.0,2021-09-01,cash,1
41,rent,2250.0,2021-10-01,cash,1
42,security deposit,2250.0,2021-11-30,cash,2
43,rent,2250.0,2021-11-30,cash,2
44,rent,2250.0,2021-12-30,cash,2
45,rent,2250.0,2022-01-30,cash,2
46,rent,2250.0,2022-02-28,cash,2
47,rent,2250.0,2022-03-28,cash,2
