id,Payment Type,Amount,Date,Method,Tenant ID
213,security deposit,2000.0,2019-12-27,zelle,8
214,rent,2000.0,2019-12-27,zelle,8
215,rent,2000.0,2020-01-27,zelle,8
216,rent,2000.0,2020-02-27,zelle,8
217,rent,2000.0,2020-03-27,zelle,8
218,rent,2000.0,2020-04-27,zelle,8
219,rent,2000.0,2020-05-27,zelle,8
220,rent,2000.0,2020-06-27,zelle,8
221,rent,2000.0,2020-07-27,zelle,8
222,rent,2000.0,2020-08-27,zelle,8
223,rent,2000.0,2020-09-27,zelle,8
224,rent,2000.0,2020-10-27,zelle,8
225,rent,2000.0,2020-11-27,zelle,8
226,rent,2000.0,2020-12-27,zelle,8
227,rent,2000.0,2021-01-27,zelle,8
228,rent,2000.0,2021-02-27,zelle,8
229,rent,2000.0,2021-03-27,zelle,8
230,rent,2000.0,2021-04-27,zelle,8
231,rent,2000.0,2021-05-27,zelle,8
232,rent,2000.0,2021-06-27,zelle,8
233,rent,2000.0,2021-07-27,zelle,8
234,rent,2000.0,2021-08-27,zelle,8
235,rent,2000.0,2021-09-27,zelle,8
236,rent,2000.0,2021-10-27,zelle,8
237,rent,2000.0,2021-11-27,zelle,8
238,rent,2000.0,2021-12-27,zelle,8
239,rent,2000.0,2022-01-27,zelle,8
240,rent,2000.0,2022-02-27,zelle,8
241,rent,2000.0,2022-03-27,zelle,8
242,rent,2000.0,2022-04-27,zelle,8
243,rent,2000.0,2022-05-27,zelle,8
244,rent,2000.0,2022-06-27,zelle,8
245,rent,2000.0,2022-07-27,zelle,8
246,rent,2000.0,2022-08-27,zelle,8
247,rent,2000.0,2022-09-27,zelle,8
248,rent,2000.0,2022-10-27,zelle,8
249,rent,2000.0,2022-11-27,zelle,8
250,rent,2000.0,2022-12-27,zelle,8
251,rent,2000.0,2023-01-27,zelle,8
252,rent,2000.0,2023-02-27,zelle,8
253,rent,2000.0,2023-03-27,zelle,8
254,rent,2000.0,2023-04-27,zelle,8
255,rent,2000.0,2023-05-27,zelle,8
256,rent,2000.0,2023-06-27,zelle,8
257,rent,2000.0,2023-07-27,zelle,8
258,rent,2000.0,2023-08-27,zelle,8
259,rent,2000.0,2023-09-27,zelle,8
260,rent,2000.0,2023-10-27,zelle,8
261,rent,2000.0,2023-11-27,zelle,8
262,rent,2000.0,2023-12-27,zelle,8
263,rent,2000.0,2024-01-27,zelle,8
264,rent,2000.0,2024-02-27,zelle,8
265,rent,2000.0,2024-03-27,zelle,8
266,rent,2000.0,2024-04-27,zelle,8
267,rent,2000.0,2024-05-27,zelle,8
268,rent,2000.0,2024-06-27,zelle,8
