Due Date,Rent Due,Back Due,BOP Due,Pmt 1: Check no.,Pmt 1: Method,Pmt 1: Date,Pmt 1: Amount,Late Fee,Rent Owed,Total Owed,EOP Due
2019-07-17,1900.0,0.0,1900.0,182,venmo,2019-07-17,1900.0,0.0,0.0,0.0,0.0
2019-08-17,1900.0,0.0,1900.0,183,venmo,2019-07-17,2100.0,150.0,-200.0,-50.0,-50.0
2019-09-17,1900.0,-50.0,1850.0,184,venmo,2019-08-17,2100.0,150.0,-250.0,-100.0,-150.0
2019-10-17,1900.0,-150.0,1750.0,185,venmo,2019-09-17,2100.0,150.0,-350.0,-200.0,-350.0
2019-11-17,1900.0,-350.0,1550.0,186,venmo,2019-10-17,2100.0,150.0,-550.0,-400.0,-750.0
2019-12-17,1900.0,-750.0,1150.0,187,venmo,2019-11-17,2100.0,150.0,-950.0,-800.0,-1550.0
2020-01-17,1900.0,-1550.0,350.0,188,venmo,2019-12-17,2100.0,150.0,-1750.0,-1600.0,-3150.0
2020-02-17,1900.0,-3150.0,-1250.0,189,venmo,2020-01-17,2100.0,150.0,-3350.0,-3200.0,-6350.0
2020-03-17,1900.0,-6350.0,-4450.0,190,venmo,2020-02-17,2100.0,150.0,-6550.0,-6400.0,-12750.0
2020-04-17,1900.0,-12750.0,-10850.0,191,venmo,2020-03-17,2100.0,150.0,-12950.0,-12800.0,-25550.0
2020-05-17,1900.0,-25550.0,-23650.0,192,venmo,2020-04-17,2100.0,150.0,-25750.0,-25600.0,-51150.0
2020-06-17,1900.0,-51150.0,-49250.0,193,venmo,2020-05-17,2100.0,150.0,-51350.0,-51200.0,-102350.0
2020-07-17,1900.0,-102350.0,-100450.0,194,venmo,2020-06-17,2100.0,150.0,-102550.0,-102400.0,-204750.0
2020-08-17,1900.0,-204750.0,-202850.0,195,venmo,2020-07-17,2100.0,150.0,-204950.0,-204800.0,-409550.0
2020-09-17,1900.0,-409550.0,-407650.0,196,venmo,2020-08-17,2100.0,150.0,-409750.0,-409600.0,-819150.0
2020-10-17,1900.0,-819150.0,-817250.0,197,venmo,2020-09-17,2100.0,150.0,-819350.0,-819200.0,-1638350.0
2020-11-17,1900.0,-1638350.0,-1636450.0,198,venmo,2020-10-17,2100.0,150.0,-1638550.0,-1638400.0,-3276750.0
