,Due Date,Rent Due,Back Due,BOP Due,Pmt 1: Check no.,Pmt 1: Method,Pmt 1: Date,Pmt 1: Amount,Late Fee,Rent Owed,Total Owed,EOP Due
0,2023-01-30,1800.0,0.0,1800.0,422,cash,2023-01-30,1800.0,0.0,0.0,0.0,0.0
1,2023-02-28,1800.0,0.0,1800.0,423,cash,2023-02-28,1800.0,0.0,0.0,0.0,0.0
2,2023-03-28,1800.0,0.0,1800.0,424,cash,2023-03-28,1800.0,0.0,0.0,0.0,0.0
3,2023-04-28,1800.0,0.0,1800.0,425,cash,2023-04-28,1800.0,0.0,0.0,0.0,0.0
4,2023-05-28,1800.0,0.0,1800.0,426,cash,2023-05-28,1800.0,0.0,0.0,0.0,0.0
5,2023-06-28,1800.0,0.0,1800.0,427,cash,2023-06-28,1800.0,0.0,0.0,0.0,0.0
6,2023-07-28,1800.0,0.0,1800.0,428,cash,2023-07-28,1800.0,0.0,0.0,0.0,0.0
7,2023-08-28,1800.0,0.0,1800.0,429,cash,2023-08-28,1800.0,0.0,0.0,0.0,0.0
8,2023-09-28,1800.0,0.0,1800.0,430,cash,2023-09-28,1800.0,0.0,0.0,0.0,0.0
9,2023-10-28,1800.0,0.0,1800.0,431,cash,2023-10-28,1800.0,0.0,0.0,0.0,0.0
10,2023-11-28,1800.0,0.0,1800.0,432,cash,2023-11-28,1800.0,0.0,0.0,0.0,0.0
11,2023-12-28,1800.0,0.0,1800.0,433,cash,2023-12-28,1800.0,0.0,0.0,0.0,0.0
12,2024-01-28,1800.0,0.0,1800.0,434,cash,2024-01-28,1800.0,0.0,0.0,0.0,0.0
13,2024-02-28,1800.0,0.0,1800.0,435,cash,2024-02-28,1800.0,0.0,0.0,0.0,0.0
14,2024-03-28,1800.0,0.0,1800.0,436,cash,2024-03-28,1800.0,0.0,0.0,0.0,0.0
15,2024-04-28,1800.0,0.0,1800.0,437,cash,2024-04-28,1800.0,0.0,0.0,0.0,0.0
16,2024-05-28,1800.0,0.0,1800.0,438,cash,2024-05-28,1800.0,0.0,0.0,0.0,0.0
17,2024-06-28,1800.0,0.0,1800.0,439,cash,2024-06-28,1800.0,0.0,0.0,0.0,0.0
18,2024-07-28,1800.0,0.0,1800.0,440,cash,2024-07-28,1800.0,0.0,0.0,0.0,0.0
19,2024-08-28,1800.0,0.0,1800.0,441,cash,2024-08-28,1800.0,0.0,0.0,0.0,0.0
20,2024-09-28,1800.0,0.0,1800.0,442,cash,2024-09-28,1800.0,0.0,0.0,0.0,0.0
21,2024-10-28,1800.0,0.0,1800.0,443,cash,2024-10-28,1800.0,0.0,0.0,0.0,0.0
22,2024-11-28,1800.0,0.0,1800.0,444,cash,2024-11-28,1800.0,0.0,0.0,0.0,0.0
23,2024-12-28,1800.0,0.0,1800.0,445,cash,2024-12-28,1800.0,0.0,0.0,0.0,0.0
